treatment,mean,stdev
g01_std,1693.12,1465.389411340442
g03_std,1875.7,1543.7307525483957
g07_std,1744.92,1457.9223052278226
g09_std,1711.09,1441.0296970492238
g01_hc1,1130.29,1051.6741659916067
g03_hc1,1135.22,1055.9650340476778
g07_hc1,1070.86,990.5379725944458
g09_hc1,1283.99,1283.4032684210913
g01_hc2,1001.62,956.6686282315441
g03_hc2,1351.13,1251.9701456326966
g07_hc2,1088.17,1025.8726470570302
g09_hc2,1105.4,1066.5765965759967
g01_hc3,1104.72,1041.1792564397372
g03_hc3,1259.43,1166.1480341169158
g07_hc3,1359.39,1248.0946682480023
g09_hc3,1276.03,1159.743105087493
